ID,Chamaecrista absus,Chamaecrista acosmifolia,Chamaecrista adenophylla ,Chamaecrista adiantifolia,Chamaecrista aiarana ,Chamaecrista altoana ,Chamaecrista amabilis ,Chamaecrista amiciella,Chamaecrista amorimii ,Chamaecrista amphibola ,Chamaecrista anamariae ,Chamaecrista anceps,Chamaecrista andersonii ,Chamaecrista andromedea,Chamaecrista anfracta,Chamaecrista arboae,Chamaecrista aristata ,Chamaecrista arrojadoana ,Chamaecrista aspidiifolia ,Chamaecrista aspleniifolia ,Chamaecrista astrochiton,Chamaecrista atroglandulosa,Chamaecrista auris-zerdae ,Chamaecrista aurivilla,Chamaecrista axilliflora,Chamaecrista azulana,Chamaecrista bahiae,Chamaecrista barbata ,Chamaecrista barnebyana,Chamaecrista basifolia ,Chamaecrista belemii ,Chamaecrista belladonna,Chamaecrista benthamiana,Chamaecrista benthamii ,Chamaecrista bifoliola ,Chamaecrista blanchetii ,Chamaecrista botryoides ,Chamaecrista boyanii ,Chamaecrista brachyblepharis,Chamaecrista brachyrachis,Chamaecrista brachystachya ,Chamaecrista bracteolata,Chamaecrista brevicalyx ,Chamaecrista burchellii ,Chamaecrista caespitosa,Chamaecrista caiapo,Chamaecrista calixtana,Chamaecrista calycioides ,Chamaecrista campestris,Chamaecrista campicola,Chamaecrista caracensis ,Chamaecrista cardiostegia,Chamaecrista carobinha ,Chamaecrista caspariifolia ,Chamaecrista catapodia,Chamaecrista cathartica,Chamaecrista catharticoides , Chamaecrista catiarae,Chamaecrista catolesensis,Chamaecrista cavalcantina,Chamaecrista chaetostegia,Chamaecrista chapadae,Chamaecrista choriophylla,Chamaecrista chrysosepala,Chamaecrista ciliolata,Chamaecrista cinerascens,Chamaecrista claussenii,Chamaecrista compitalis,Chamaecrista conferta ,Chamaecrista confertiformis,Chamaecrista coradinii,Chamaecrista cordistipula,Chamaecrista coriacea,Chamaecrista cotinifolia,Chamaecrista crenulata,Chamaecrista cristalinae,Chamaecrista crommyotricha,Chamaecrista cultrifolia,Chamaecrista cuprea,Chamaecrista curvifolia,Chamaecrista cyclophylla,Chamaecrista cytisoides,Chamaecrista dalbergiifolia,Chamaecrista dawsonii,Chamaecrista debilis,Chamaecrista decora,Chamaecrista decrescens,Chamaecrista decumbens,Chamaecrista deltoidea,Chamaecrista densifolia,Chamaecrista dentata,Chamaecrista depauperata,Chamaecrista desertorum,Chamaecrista desvauxii ,Chamaecrista didyma,Chamaecrista diphylla,Chamaecrista distichoclada,Chamaecrista duartei,Chamaecrista duckeana,Chamaecrista dumalis,Chamaecrista echinocarpa,Chamaecrista egleri,Chamaecrista eitenorum,Chamaecrista elachistophylla,Chamaecrista elata,Chamaecrista ensiformis,Chamaecrista ericifolia,Chamaecrista exsudans,Chamaecrista fagonioides,Chamaecrista feliciana,Chamaecrista filicifolia,Chamaecrista flammata,Chamaecrista flexuosa,Chamaecrista floribunda,Chamaecrista fodinarum,Chamaecrista foederalis,Chamaecrista fragilis,Chamaecrista frondosa,Chamaecrista fulgida,Chamaecrista fuscescens,Chamaecrista geminata,Chamaecrista geraldoi,Chamaecrista gilliesii,Chamaecrista glandulosa,Chamaecrista glaucofilix,Chamaecrista glaziovii,Chamaecrista gonoclada,Chamaecrista gumminans,Chamaecrista gymnothyrsa,Chamaecrista harmsiana,Chamaecrista hassleri,Chamaecrista hatschbachii,Chamaecrista hedysaroides,Chamaecrista herpestia,Chamaecrista hispidula,Chamaecrista howardii,Chamaecrista huntii,Chamaecrista hymenaeifolia,Chamaecrista imbricans ,Chamaecrista incana ,Chamaecrista incurvata,Chamaecrista ipanorensis,Chamaecrista irwiniana,Chamaecrista isidorea,Chamaecrista itabiritoana,Chamaecrista itambana,Chamaecrista jacobinea,Chamaecrista juruenensis,Chamaecrista kunthiana,Chamaecrista labouriaeae,Chamaecrista lagotois,Chamaecrista lamprosperma ,Chamaecrista latifolia,Chamaecrista latistipula,Chamaecrista lavradiiflora,Chamaecrista lavradioides,Chamaecrista lentiscifolia,Chamaecrista leucopilis,Chamaecrista linearifolia,Chamaecrista linearis ,Chamaecrista lomatopoda ,Chamaecrista longicuspis ,Chamaecrista longistyla ,Chamaecrista lundii,Chamaecrista macedoi,Chamaecrista machaeriifolia,Chamaecrista microsenna,Chamaecrista mollicaulis,Chamaecrista monticola,Chamaecrista mucronata,Chamaecrista multinervia,Chamaecrista multipennis,Chamaecrista multiseta,Chamaecrista myrophenges,Chamaecrista nanodes,Chamaecrista neesiana,Chamaecrista negrensis,Chamaecrista nictitans,Chamaecrista nuda,Chamaecrista nummulariifolia,Chamaecrista obolaria,Chamaecrista obtecta,Chamaecrista ochnacea,Chamaecrista ochrosperma,Chamaecrista olesiphylla,Chamaecrista oligandra ,Chamaecrista oligosperma ,Chamaecrista onusta,Chamaecrista oppositifolia,Chamaecrista orbiculata ,Chamaecrista pachyclada ,Chamaecrista paniculata,Chamaecrista paraunana,Chamaecrista parvistipula,Chamaecrista pascuorum,Chamaecrista pauciflora,Chamaecrista petiolata,Chamaecrista philippi,Chamaecrista phyllostachya,Chamaecrista pilicarpa,Chamaecrista pilosa,Chamaecrista planaltoana,Chamaecrista planifolia,Chamaecrista pohliana,Chamaecrista polita,Chamaecrista polymorpha,Chamaecrista polystachya,Chamaecrista potentilla,Chamaecrista psoraleopsis,Chamaecrista punctata ,Chamaecrista punctulifera,Chamaecrista ramosa,Chamaecrista repens,Chamaecrista roncadorensis,Chamaecrista roraimae,Chamaecrista rossicorum,Chamaecrista rotundata,Chamaecrista rotundifolia,Chamaecrista rufa ,Chamaecrista rugosula,Chamaecrista rupertiana,Chamaecrista rupestrium ,Chamaecrista salvatoris,Chamaecrista scabra,Chamaecrista scleroxylon,Chamaecrista secunda,Chamaecrista semaphora,Chamaecrista serpens,Chamaecrista seticrenata,Chamaecrista setosa,Chamaecrista simplifacta,Chamaecrista sincorana,Chamaecrista sophoroides,Chamaecrista souzana,Chamaecrista sparsifolia,Chamaecrista speciosa,Chamaecrista spinulosa,Chamaecrista spodiotricha,Chamaecrista stillifera,Chamaecrista strictifolia,Chamaecrista strictula,Chamaecrista subdecrescens ,Chamaecrista subpeltata,Chamaecrista supplex,Chamaecrista swainsonii,Chamaecrista tenuicaulis,Chamaecrista tenuisepala,Chamaecrista tephrosiifolia,Chamaecrista tocantinensis,Chamaecrista tomentella ,Chamaecrista trachycarpa ,Chamaecrista tragacanthoides,Chamaecrista transversa ,Chamaecrista trichopoda,Chamaecrista truncata,Chamaecrista ulmea,Chamaecrista unijuga,Chamaecrista urophyllidia,Chamaecrista ursina,Chamaecrista vauthieri,Chamaecrista venatoria,Chamaecrista venulosa,Chamaecrista verruculosa,Chamaecrista vestita,Chamaecrista virginis ,Chamaecrista viscosa ,Chamaecrista xinguensis,Chamaecrista zygophylloides
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1
6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
